Iteration,AES256 Encryption (microseconds),Key Generation (microseconds),Signing (microseconds),Verification (microseconds)
688,132,979849,11689298,31828
689,123,973748,11697980,32556
690,125,977008,11689572,31119
691,123,975109,11701685,32952
692,123,976748,11708185,31587
693,128,973356,11694132,32796
694,122,976512,11703744,32993
695,122,974511,11678859,32392
696,122,975872,11709151,31767
697,122,975671,11701406,33315
698,138,975935,11691376,29028
699,130,974797,11704064,33965
700,136,981469,11705929,29633
701,123,978189,11712041,30993
702,127,976495,11703099,27997
703,136,977760,11707243,32737
704,127,976770,11720282,32570
705,123,977372,11700994,32060
706,122,976080,11705237,32260
707,174,976546,11694758,32443
708,123,977754,11709308,32060
709,137,976869,11696693,32602
710,131,973275,11698988,32285
711,135,981071,11709439,33407
712,122,978520,11703703,32841
713,125,974429,11702169,32033
714,123,977878,11708413,32192
715,122,975845,11719818,34519
716,122,977354,11700352,33153
717,136,977159,11700699,31262
718,134,976055,11703160,31721
719,122,977734,11705212,31552
720,122,978174,11687210,28532
721,122,978348,11693429,32237
722,122,975352,11712399,30977
723,122,978197,11705040,32431
724,123,977085,11700541,32083
725,135,976430,11708831,31221
726,134,978422,11713370,30574
727,123,976985,11725414,33840
728,124,975969,11697282,31303
729,124,975041,11688815,32481
730,126,976048,11704909,33272
731,129,975917,11696661,31930
732,135,975146,11707574,32298
733,123,975838,11704243,31385
734,123,975938,11729783,31557
735,122,974796,11704383,32964
736,135,975914,11709982,33257
737,123,976482,11697507,31517
738,122,979701,11705534,34145
739,130,974916,11709527,32339
740,122,977222,11707260,32299
741,123,976100,11712574,31436
742,128,976429,11724220,32162
743,169,977295,11703779,31021
744,122,975815,11703688,33372
745,183,976565,11698986,32559
746,138,975279,11693628,31609
747,123,973240,11683333,31026
748,123,975951,11701889,30173
749,124,976094,11689729,31580
750,122,975310,11700146,31655
751,122,979334,11703034,31479
752,136,978456,11705519,31963
753,123,974960,11701416,32565
754,130,978620,11685400,32125
755,122,978250,11696290,32313
756,121,975853,11692340,27610
757,132,978270,11701553,32000
758,136,976962,11699966,32089
759,131,976430,11699871,28512
760,121,977107,11699326,29169
761,181,975209,11700626,32001
762,124,982530,11711604,32057
763,123,973791,11705711,32818
764,134,976788,11709251,31844
765,137,978600,11708839,30231
766,121,975590,11697369,32464
767,124,979995,11693615,31785
768,131,977062,11698844,33309
769,123,977330,11716445,29625
770,138,975957,11687300,32590
771,121,976770,11698458,33182
772,122,974703,11709476,31397
773,122,978035,11701618,32900
774,135,977134,11701150,34270
775,123,977267,11688974,31432
776,136,975851,11698765,33008
777,121,977784,11705410,34034
778,122,979068,11709188,31830
779,123,975211,11680268,32681
780,127,979330,11700940,31258
781,122,977362,11698830,33823
782,134,981127,11710304,33210
783,127,972982,11693636,30513
784,127,973170,11684974,32591
785,123,980402,11709976,32223
786,126,980863,11689124,32164
787,123,979287,11705935,32417
788,122,976864,11688907,30493
789,120,979792,11710771,30090
790,136,975588,11717655,31490
791,168,976889,11699098,32167
792,122,974876,11700591,31852
793,123,980260,11704261,31724
794,124,977818,11713218,31750
795,121,976461,11708560,30533
796,121,974937,11697662,33867
797,135,974129,11697441,31794
798,144,974832,11702181,32349
799,122,977057,11707285,30300
800,121,975344,11700534,32343
801,122,974703,11694098,34179
802,129,975955,11705115,32566
803,136,974424,11697364,32419
