Iteration, Key Generation Time seconds, Shared Secret Time seconds, AES Encryption Time seconds, Key Generation Time seconds, Shared Secret Time seconds, AES Decryption Time seconds
268,0.002977,0.010425,0.000047,0.002977,0.010425,0.000024
269,0.003142,0.010277,0.000063,0.003142,0.010277,0.000026
270,0.003157,0.010235,0.000046,0.003157,0.010235,0.000044
271,0.003076,0.010572,0.000048,0.003076,0.010572,0.000024
272,0.003089,0.010041,0.000047,0.003089,0.010041,0.000027
273,0.003076,0.010120,0.000049,0.003076,0.010120,0.000024
274,0.003126,0.010467,0.000050,0.003126,0.010467,0.000024
275,0.003092,0.010245,0.000045,0.003092,0.010245,0.000024
276,0.003165,0.010059,0.000047,0.003165,0.010059,0.000024
277,0.003064,0.010001,0.000048,0.003064,0.010001,0.000027
278,0.003204,0.009986,0.000094,0.003204,0.009986,0.000028
279,0.003066,0.010275,0.000061,0.003066,0.010275,0.000028
280,0.002726,0.009577,0.000062,0.002726,0.009577,0.000022
281,0.002746,0.009093,0.000047,0.002746,0.009093,0.000024
282,0.002835,0.009418,0.000122,0.002835,0.009418,0.000024
283,0.002888,0.010033,0.000047,0.002888,0.010033,0.000023
284,0.002962,0.009911,0.000046,0.002962,0.009911,0.000023
285,0.002919,0.009764,0.000049,0.002919,0.009764,0.000024
286,0.002896,0.010141,0.000060,0.002896,0.010141,0.000027
287,0.002662,0.009322,0.000055,0.002662,0.009322,0.000020
288,0.002687,0.009247,0.000040,0.002687,0.009247,0.000021
289,0.002727,0.009277,0.000050,0.002727,0.009277,0.000022
290,0.002784,0.009574,0.000042,0.002784,0.009574,0.000024
291,0.002905,0.009717,0.000046,0.002905,0.009717,0.000023
292,0.003008,0.009875,0.000049,0.003008,0.009875,0.000026
293,0.002964,0.010266,0.000054,0.002964,0.010266,0.000024
294,0.002959,0.009987,0.000042,0.002959,0.009987,0.000024
295,0.002648,0.009878,0.000059,0.002648,0.009878,0.000025
296,0.002999,0.009475,0.000061,0.002999,0.009475,0.000032
297,0.002679,0.009257,0.000051,0.002679,0.009257,0.000026
298,0.002721,0.010189,0.000055,0.002721,0.010189,0.000029
299,0.002718,0.009798,0.000058,0.002718,0.009798,0.000025
300,0.003255,0.009695,0.000050,0.003255,0.009695,0.000067
301,0.002727,0.009224,0.000048,0.002727,0.009224,0.000024
302,0.002773,0.009748,0.000048,0.002773,0.009748,0.000023
303,0.002918,0.009690,0.000048,0.002918,0.009690,0.000022
304,0.002876,0.009249,0.000055,0.002876,0.009249,0.000026
305,0.002779,0.009478,0.000056,0.002779,0.009478,0.000026
306,0.002924,0.009643,0.000049,0.002924,0.009643,0.000026
307,0.002922,0.009569,0.000055,0.002922,0.009569,0.000028
308,0.002823,0.009577,0.000121,0.002823,0.009577,0.000028
309,0.002576,0.009720,0.000056,0.002576,0.009720,0.000024
310,0.002695,0.009282,0.000051,0.002695,0.009282,0.000024
311,0.002794,0.009617,0.000051,0.002794,0.009617,0.000025
312,0.002808,0.009820,0.000053,0.002808,0.009820,0.000024
313,0.002840,0.009593,0.000082,0.002840,0.009593,0.000048
314,0.004234,0.034359,0.000155,0.004234,0.034359,0.000106
315,0.006477,0.039522,0.000156,0.006477,0.039522,0.000029
316,0.002937,0.010905,0.000096,0.002937,0.010905,0.000041
317,0.002874,0.011129,0.000115,0.002874,0.011129,0.000030
318,0.010202,0.018697,0.000062,0.010202,0.018697,0.000037
319,0.003053,0.012146,0.000222,0.003053,0.012146,0.000304
320,0.004435,0.014552,0.000101,0.004435,0.014552,0.000027
321,0.002860,0.010484,0.000060,0.002860,0.010484,0.000029
322,0.002819,0.010405,0.000058,0.002819,0.010405,0.000038
323,0.002967,0.010177,0.000056,0.002967,0.010177,0.000035
324,0.003139,0.010568,0.000054,0.003139,0.010568,0.000027
325,0.002890,0.010589,0.000059,0.002890,0.010589,0.000032
326,0.003271,0.010171,0.000059,0.003271,0.010171,0.000028
327,0.003130,0.010514,0.000075,0.003130,0.010514,0.000028
328,0.003061,0.010291,0.000046,0.003061,0.010291,0.000025
329,0.003127,0.010374,0.000075,0.003127,0.010374,0.000024
330,0.003061,0.010373,0.000048,0.003061,0.010373,0.000026
331,0.003080,0.010479,0.000050,0.003080,0.010479,0.000024
332,0.003032,0.009855,0.000081,0.003032,0.009855,0.000032
333,0.003260,0.012541,0.000079,0.003260,0.012541,0.000033
334,0.002858,0.049353,0.000077,0.002858,0.049353,0.000028
335,0.002689,0.009570,0.000047,0.002689,0.009570,0.000023
336,0.002732,0.009696,0.000060,0.002732,0.009696,0.000023
337,0.002879,0.009947,0.000058,0.002879,0.009947,0.000027
338,0.002808,0.009809,0.000046,0.002808,0.009809,0.000026
339,0.002814,0.009984,0.000053,0.002814,0.009984,0.000029
340,0.002769,0.009994,0.000057,0.002769,0.009994,0.000024
341,0.002837,0.009740,0.000072,0.002837,0.009740,0.000027
342,0.002913,0.010335,0.000061,0.002913,0.010335,0.000031
343,0.002948,0.009856,0.000052,0.002948,0.009856,0.000027
344,0.002893,0.009880,0.000054,0.002893,0.009880,0.000026
345,0.003056,0.010071,0.000046,0.003056,0.010071,0.000024
346,0.003066,0.009705,0.000109,0.003066,0.009705,0.000095
347,0.004772,0.011828,0.000053,0.004772,0.011828,0.000025
348,0.002692,0.009833,0.000061,0.002692,0.009833,0.000026
349,0.002988,0.010455,0.000055,0.002988,0.010455,0.000026
350,0.002678,0.009682,0.000055,0.002678,0.009682,0.000028
351,0.002679,0.010769,0.000087,0.002679,0.010769,0.000024
352,0.002835,0.009317,0.000044,0.002835,0.009317,0.000021
353,0.002754,0.009768,0.000050,0.002754,0.009768,0.000023
354,0.002846,0.009821,0.000046,0.002846,0.009821,0.000024
355,0.002924,0.009797,0.000047,0.002924,0.009797,0.000024
356,0.003031,0.010455,0.000047,0.003031,0.010455,0.000029
357,0.002996,0.010053,0.000052,0.002996,0.010053,0.000024
358,0.002956,0.010189,0.000048,0.002956,0.010189,0.000024
359,0.003074,0.010341,0.000064,0.003074,0.010341,0.000024
360,0.003052,0.010238,0.000047,0.003052,0.010238,0.000024
361,0.003033,0.010009,0.000060,0.003033,0.010009,0.000042
362,0.002986,0.034814,0.000059,0.002986,0.034814,0.000025
363,0.002752,0.009544,0.000059,0.002752,0.009544,0.000024
364,0.002808,0.009685,0.000051,0.002808,0.009685,0.000024
365,0.002974,0.009897,0.000079,0.002974,0.009897,0.000042
366,0.004330,0.013169,0.000059,0.004330,0.013169,0.000029
367,0.003542,0.011412,0.000054,0.003542,0.011412,0.000027
368,0.003391,0.010967,0.000060,0.003391,0.010967,0.000026
369,0.003375,0.011227,0.000064,0.003375,0.011227,0.000026
370,0.003408,0.011351,0.000063,0.003408,0.011351,0.000028
371,0.003550,0.011557,0.000055,0.003550,0.011557,0.000026
372,0.003307,0.011011,0.000048,0.003307,0.011011,0.000025
373,0.003323,0.010764,0.000061,0.003323,0.010764,0.000030
374,0.003602,0.011427,0.000060,0.003602,0.011427,0.000032
375,0.003478,0.011246,0.000054,0.003478,0.011246,0.000027
376,0.003489,0.011455,0.000063,0.003489,0.011455,0.000026
377,0.003384,0.011451,0.000057,0.003384,0.011451,0.000027
378,0.003427,0.011456,0.000052,0.003427,0.011456,0.000040
379,0.003449,0.011223,0.000049,0.003449,0.011223,0.000026
380,0.003355,0.010905,0.000049,0.003355,0.010905,0.000024
381,0.003278,0.010619,0.000045,0.003278,0.010619,0.000030
382,0.003131,0.010414,0.000047,0.003131,0.010414,0.000026
383,0.002964,0.010116,0.000048,0.002964,0.010116,0.000025
384,0.003170,0.010266,0.000078,0.003170,0.010266,0.000025
385,0.003092,0.010285,0.000054,0.003092,0.010285,0.000024
386,0.003158,0.010508,0.000047,0.003158,0.010508,0.000024
387,0.003134,0.010298,0.000046,0.003134,0.010298,0.000024
388,0.003002,0.011753,0.000062,0.003002,0.011753,0.000085
389,0.002987,0.010503,0.000071,0.002987,0.010503,0.000029
390,0.002865,0.010245,0.000057,0.002865,0.010245,0.000032
391,0.003204,0.036111,0.000075,0.003204,0.036111,0.000026
392,0.002778,0.009358,0.000055,0.002778,0.009358,0.000035
393,0.002867,0.009644,0.000107,0.002867,0.009644,0.000030
394,0.003418,0.010087,0.000053,0.003418,0.010087,0.000029
395,0.002880,0.009962,0.000060,0.002880,0.009962,0.000024
396,0.002903,0.009682,0.000062,0.002903,0.009682,0.000025
397,0.002983,0.010055,0.000058,0.002983,0.010055,0.000027
398,0.003057,0.010340,0.000049,0.003057,0.010340,0.000025
399,0.003114,0.010275,0.000061,0.003114,0.010275,0.000030
400,0.003262,0.011808,0.000054,0.003262,0.011808,0.000027
401,0.003105,0.009911,0.000045,0.003105,0.009911,0.000026
402,0.002975,0.010246,0.000055,0.002975,0.010246,0.000028
403,0.003156,0.010585,0.000060,0.003156,0.010585,0.000030
404,0.003240,0.013405,0.000076,0.003240,0.013405,0.000043
405,0.003358,0.030974,0.000065,0.003358,0.030974,0.000030
406,0.002976,0.011130,0.000057,0.002976,0.011130,0.000035
407,0.004386,0.013321,0.000064,0.004386,0.013321,0.000029
408,0.004069,0.009523,0.000061,0.004069,0.009523,0.000032
409,0.002722,0.010732,0.000054,0.002722,0.010732,0.000028
410,0.002941,0.010085,0.000060,0.002941,0.010085,0.000028
411,0.004959,0.025542,0.000128,0.004959,0.025542,0.000032
412,0.004117,0.015015,0.000119,0.004117,0.015015,0.000053
