Iteration,Encapsulation (microseconds),AES256 Encryption (microseconds),Decapsulation (microseconds),AES256 Decryption (microseconds)
963,1456,142,1700,166
964,1443,140,1699,165
965,1461,135,1675,168
966,1399,134,1714,166
967,1402,203,1677,166
968,1404,193,1674,172
969,1410,134,1723,167
970,1410,133,1743,166
971,1484,134,1668,165
972,1402,134,1712,166
973,1424,140,1673,170
974,1404,136,1668,172
975,1434,134,1673,166
976,1446,134,1750,166
977,1467,133,1678,165
978,1400,134,1678,166
979,1398,173,1708,166
980,1405,134,1669,165
981,1446,133,1705,168
982,1415,140,1718,167
983,1405,133,1699,171
984,1398,141,1675,166
985,1403,204,1673,166
986,1404,134,1719,167
987,1403,134,1694,164
988,1398,196,1676,169
989,1401,135,1723,163
990,1410,191,1667,170
991,1398,179,1677,166
992,1399,140,1722,166
993,1431,140,1710,172
994,1404,216,1669,172
995,1457,134,1738,165
996,1475,142,1679,166
997,1407,141,1678,165
998,1438,133,1680,165
999,1445,135,1753,174
1000,1456,134,1673,173
